Feature,β_LOW,β_MODERATE,β_HIGH
INTERCEPT β0,45.02557360279117,-2.7905570894274074,-42.23501651336444
Age,-0.0487355465997955,0.05215244507798194,-0.0034168984781832103
Gender,0.04664387883855465,-0.3870943740000663,0.3404504951614423
Air Pollution,-0.19730005626215913,-0.5321423939750362,0.7294424502372048
Alcohol use,-0.2616671761981293,-0.2164378878868838,0.47810506408502934
Dust Allergy,-0.615227566939316,0.8095353445241396,-0.19430777758481274
OccuPational Hazards,0.12952308605468213,-0.2213013645837502,0.09177827852908692
Genetic Risk,-0.5225554402621627,0.30783727962106644,0.2147181606411102
chronic Lung Disease,-0.4555453942578881,-0.10871851003882577,0.5642639042967268
Balanced Diet,-0.08857562842711615,-0.3854278337317422,0.4740034621588711
Obesity,-1.2786842450726716,0.6326913263210966,0.645992918751589
Smoking,-0.07967095007168944,0.028379841884647344,0.051291108187051244
Passive Smoker,-1.0963549600573972,0.1628151232684441,0.9335398367889616
Chest Pain,0.31827775274943787,-0.38905512628679956,0.07077737353736897
Coughing of Blood,-0.8816753268777329,0.017118688639647776,0.8645566382380943
Fatigue,-0.7646705449204348,-0.15964425035373206,0.9243147952741698
Weight Loss,0.06204582141316154,-0.4467730847549041,0.3847272633417453
Shortness of Breath,-0.2973654419012205,-0.28152896269358946,0.5788944045948129
Wheezing,-1.118337358770832,0.9090519336696568,0.20928542510116843
Swallowing Difficulty,-0.9126436032890226,-0.10110240688357207,1.0137460101725868
Clubbing of Finger Nails,-0.8635251888476793,0.39162475191728313,0.4719004369303986
Frequent Cold,-0.8085508335676125,0.30834114041551813,0.5002096931520931
Dry Cough,-0.5877894169789021,0.1951395791250981,0.3926498378538089
Snoring,-1.1648047324136692,0.6256848846536083,0.5391198477600685
