Class,Feature,Mean,Std,Minimum,Maximum
High,Age,-0.09030445244162157,0.009883309569302607,-0.10160182837724897,-0.07710299457125144
High,Air Pollution,0.5553150264245666,0.007753991688588071,0.547635095444644,0.5664425788997622
High,Alcohol use,0.4180279421509471,0.009080825906487353,0.40486533394487423,0.42791108621756735
High,Balanced Diet,0.4131275732691808,0.004502197281423826,0.4086090806848357,0.4204560635080227
High,Chest Pain,0.08074602694699683,0.01506788617385929,0.06682546477605199,0.10398464982923679
High,Clubbing of Finger Nails,0.3490172800259051,0.008776648470623826,0.3411789971031549,0.36229315180436905
High,Coughing of Blood,0.6819045765031586,0.010570240842791229,0.66691366933119,0.694763890627745
High,Dry Cough,0.4234415928517194,0.011487410797274418,0.4125890721650022,0.43958893296548884
High,Dust Allergy,-0.018588999064829127,0.009468900069827554,-0.032772141977625076,-0.006812152280980637
High,Fatigue,0.7860471723959167,0.006142804537173479,0.7798106341858072,0.795586386412713
High,Frequent Cold,0.36885935352717736,0.015200859661127206,0.3551503238112555,0.3916155753229527
High,Gender,0.05913695577835313,0.016298697801679626,0.04221911528821835,0.0791578696969558
High,Genetic Risk,0.22391884242993337,0.0058854459663224825,0.2145940228591876,0.22959992146477987
High,Obesity,0.5434707370570242,0.006568142182871048,0.5347905816907964,0.5501804253883602
High,OccuPational Hazards,0.07334711277180647,0.006867630655148993,0.06403579348668831,0.08260472682765477
High,Passive Smoker,0.74681216421789,0.011345365489879916,0.7343231343341807,0.756350194855628
High,Shortness of Breath,0.4348070740469505,0.020284187689785425,0.41423854810007665,0.4686638231115698
High,Smoking,0.2482612270604346,0.023256637881013783,0.2215914165343187,0.2803378221973291
High,Snoring,0.22603885014387948,0.00697767481834172,0.2186379461544307,0.23592293626992478
High,Swallowing Difficulty,0.6104061299485053,0.01814809453551785,0.5898461631733019,0.6392580748909411
High,Weight Loss,0.3891737143390652,0.004597944920484704,0.38582553801343006,0.39697895902837665
High,Wheezing,0.1497823115901983,0.012368105383154518,0.13017312714190366,0.1609847197041361
High,chronic Lung Disease,0.3459664260383078,0.011156694442120068,0.3362338158152404,0.3646030616826917
Low,Age,-0.26057049639996555,0.02152397060250076,-0.29372584117814654,-0.24024173015275638
Low,Air Pollution,-0.11930258706701417,0.01706517310539379,-0.1307744519254771,-0.08950321887578006
