Feature,Eta_squared,Low_mean,Medium_mean,High_mean
Obesity,0.7048613520651138,2.4092409240924093,3.9036144578313254,6.682191780821918
Coughing of Blood,0.6754681143018141,2.8613861386138613,3.8463855421686746,7.438356164383562
Passive Smoker,0.5916241085125163,2.633663366336634,3.0542168674698793,6.528767123287671
Balanced Diet,0.5805418049237546,3.0,3.5120481927710845,6.619178082191781
Dust Allergy,0.5284426175106297,3.112211221122112,5.442771084337349,6.616438356164384
Alcohol use,0.5200930733314094,2.231023102310231,4.198795180722891,6.83013698630137
Genetic Risk,0.4951800479247139,2.732673267326733,4.292168674698795,6.375342465753425
Air Pollution,0.48357252491894276,2.6006600660066006,2.933734939759036,5.693150684931507
OccuPational Hazards,0.4532981631714956,3.0,4.716867469879518,6.47945205479452
Chest Pain,0.4481352686875304,2.834983498349835,3.753012048192771,6.391780821917808
Smoking,0.4256800073930218,3.0231023102310233,2.4548192771084336,6.073972602739726
Fatigue,0.3975313277421497,2.1716171617161715,3.4879518072289155,5.589041095890411
chronic Lung Disease,0.3880053803282088,3.092409240924092,3.963855421686747,5.8273972602739725
Shortness of Breath,0.268946822555447,2.4983498349834985,4.632530120481928,5.328767123287672
Frequent Cold,0.2031279490030888,2.366336633663366,3.674698795180723,4.380821917808219
Wheezing,0.18264999251772757,2.5742574257425743,4.756024096385542,3.884931506849315
Clubbing of Finger Nails,0.17759508799745288,2.4686468646864688,4.936746987951807,4.208219178082191
Weight Loss,0.1637959898298746,2.5016501650165015,4.4156626506024095,4.468493150684932
Dry Cough,0.14103411995764115,2.9141914191419143,3.6957831325301207,4.7753424657534245
Snoring,0.12356830217335749,2.1419141914191417,3.3102409638554215,3.2273972602739724
Swallowing Difficulty,0.08225603531068486,2.759075907590759,4.159638554216867,4.189041095890411
Gender,0.027224941429120696,1.5082508250825082,1.4066265060240963,1.3095890410958904
Age,0.011408021446766854,35.412541254125415,38.62048192771084,37.320547945205476
