Feature,Mean_CV_Accuracy,Std_CV_Accuracy
Obesity,0.748,0.016309506430300106
Coughing of Blood,0.6779999999999999,0.016309506430300064
Dust Allergy,0.639,0.03261901286060018
Chest Pain,0.627,0.012884098726725137
Balanced Diet,0.618,0.028390139133156807
Passive Smoker,0.617,0.036138621999185334
Smoking,0.608,0.044452221541785734
Frequent Cold,0.579,0.045321076774498634
Genetic Risk,0.578,0.012884098726725107
OccuPational Hazards,0.578,0.025416530054277662
Fatigue,0.5700000000000001,0.02949576240750523
chronic Lung Disease,0.5589999999999999,0.02634387974463896
Alcohol use,0.527,0.016309506430300102
Air Pollution,0.518,0.03429285639896451
Shortness of Breath,0.489,0.01685229954635273
Clubbing of Finger Nails,0.46900000000000003,0.036386810797320514
Weight Loss,0.45,0.027018512172212596
Snoring,0.41900000000000004,0.02576819745345025
Swallowing Difficulty,0.418,0.018055470085267786
Gender,0.40599999999999997,0.012806248474865684
Wheezing,0.40199999999999997,0.014696938456699057
Age,0.381,0.01319090595827293
Dry Cough,0.366,0.017146428199482245
