Feature,Importance
Coughing of Blood,0.3930890545861974
Wheezing,0.26453855995577374
Obesity,0.12143744600466354
Snoring,0.11409810093939123
OccuPational Hazards,0.07697531564836795
Clubbing of Finger Nails,0.02986152286560596
Dry Cough,0.0
Frequent Cold,0.0
Swallowing Difficulty,0.0
Shortness of Breath,0.0
Weight Loss,0.0
Fatigue,0.0
Age,0.0
Chest Pain,0.0
Gender,0.0
Smoking,0.0
Balanced Diet,0.0
chronic Lung Disease,0.0
Genetic Risk,0.0
Dust Allergy,0.0
Alcohol use,0.0
Air Pollution,0.0
Passive Smoker,0.0
