,LOW,MODERATE,HIGH
Age,-0.023505157866144353,0.031003921115484955,-0.007498763249340581
Gender,0.11861951294459046,-0.2444587556721809,0.1258392427275921
Air Pollution,-0.06546423962702512,-0.22321327727255588,0.2886775168995809
Alcohol use,-0.09801510856978314,-0.07621987110495065,0.17423497967473348
Dust Allergy,-0.2292716409621785,0.24195755860622403,-0.012685917644045967
OccuPational Hazards,-0.05265999130791752,0.016452144720457775,0.03620784658745938
Genetic Risk,-0.20575622379104097,0.09193571251433652,0.11382051127670419
chronic Lung Disease,-0.14851764345967888,-0.05638510888377353,0.2049027523434522
Balanced Diet,-0.017475643201418856,-0.1869193792154349,0.20439502241685345
Obesity,-0.41605390202411935,0.14390930112403524,0.27214460090008374
Smoking,0.010223005911505535,-0.10918026094510498,0.09895725503359894
Passive Smoker,-0.3034337641061619,-0.043252024030891956,0.3466857881370534
Chest Pain,0.034969536544068903,-0.07180627706344837,0.03683674051937924
Coughing of Blood,-0.279327276555362,-0.024959280921051347,0.30428655747641287
Fatigue,-0.30043134328878895,-0.07399906544698527,0.3744304087357742
Weight Loss,-0.049730873250996864,-0.1381873370908568,0.1879182103418537
Shortness of Breath,-0.1263405195823029,-0.08017995373787508,0.20652047332017798
Wheezing,-0.41916264769709316,0.3388812453305415,0.08028140236655151
Swallowing Difficulty,-0.31492262586422815,0.016465000885263627,0.2984576249789642
Clubbing of Finger Nails,-0.32525552631157706,0.16329050418877888,0.1619650221227986
Frequent Cold,-0.3102900341474814,0.0947077570579269,0.21558227708955524
Dry Cough,-0.21387618629367125,-0.00474269131134874,0.21861887760502033
Snoring,-0.4232727248443564,0.2542162505928804,0.16905647425147596
INTERCEPT,17.063201766921246,0.022871748618809473,-17.08607351554004
