Actual,Predicted,P_LOW,P_MODERATE,P_HIGH
LOW,LOW,0.8154185945168261,0.184491755055714,8.965042746004552e-05
MODERATE,MODERATE,0.1819085014624547,0.8173131009187223,0.0007783976188230148
HIGH,HIGH,0.0005610549286523362,0.04808015592856742,0.9513587891427802
HIGH,HIGH,1.024867290097954e-05,0.009877011003128478,0.9901127403239706
HIGH,HIGH,0.0016837228875204808,0.04720442961132365,0.9511118475011558
HIGH,HIGH,0.0005610549286523362,0.04808015592856742,0.9513587891427802
LOW,LOW,0.7180902762487918,0.28179580204535587,0.00011392170585219651
LOW,LOW,0.9125317821162119,0.08743041001097812,3.780787281002613e-05
MODERATE,MODERATE,0.3806675307096262,0.49807145135485525,0.12126101793551855
MODERATE,MODERATE,0.040810339256783096,0.9590881211064632,0.00010153963675367258
HIGH,HIGH,4.078782312072466e-06,0.04094177938680613,0.9590541418308819
HIGH,HIGH,1.8569133321373191e-06,0.02577344552575504,0.9742246975609128
MODERATE,MODERATE,0.0014758555659692767,0.5355305288462974,0.46299361558773333
HIGH,HIGH,1.4150756540863495e-05,0.015839838825777622,0.9841460104176816
LOW,LOW,0.9082855564456445,0.09169498899693113,1.9454557424454587e-05
MODERATE,MODERATE,0.2982781562545827,0.455271331701675,0.2464505120437423
MODERATE,MODERATE,0.15211587151698305,0.8472148315913149,0.000669296891702113
HIGH,HIGH,1.4864199078667834e-05,0.01414273739430607,0.9858423984066154
HIGH,HIGH,6.737563165161029e-09,0.0012567340834325957,0.9987432591790041
MODERATE,MODERATE,0.047520673864511524,0.903118478471539,0.04936084766394961
HIGH,HIGH,0.003466764817758953,0.02112724426512481,0.9754059909171163
HIGH,HIGH,0.0004683675751480345,0.059786514589971904,0.9397451178348801
HIGH,HIGH,0.0012675783126832839,0.08392719430228143,0.9148052273850353
HIGH,HIGH,4.4433100780769905e-05,0.02421073602504278,0.9757448308741765
HIGH,HIGH,5.852582552623402e-09,0.0013044070176659536,0.9986955871297514
MODERATE,MODERATE,0.0019328202014343879,0.9929690908447696,0.005098088953795994
MODERATE,MODERATE,0.08615920747842239,0.9079594063554286,0.005881386166149057
MODERATE,MODERATE,0.08477524178240826,0.9073698902226733,0.007854867994918403
HIGH,HIGH,1.6791284635497938e-06,0.041319351319420494,0.9586789695521158
MODERATE,MODERATE,0.0003970817359551026,0.9952387177092797,0.004364200554765128
HIGH,HIGH,8.038669269696163e-05,0.11684591782108386,0.8830736954862192
HIGH,HIGH,9.935733223521879e-05,0.10143216066194216,0.8984684820058226
MODERATE,MODERATE,0.12438273709114524,0.80553198741361,0.0700852754952449
LOW,LOW,0.8290533741684596,0.17088294038538662,6.368544615393351e-05
LOW,LOW,0.9225805215704219,0.0773881438245917,3.1334604986475754e-05
MODERATE,MODERATE,0.047520673864511524,0.903118478471539,0.04936084766394961
LOW,LOW,0.9076685171610231,0.0923126778067168,1.8805032259883e-05
LOW,LOW,0.645545706834719,0.2523583338752612,0.10209595929001981
LOW,LOW,0.964034633989863,0.03567913127422779,0.00028623473590933923
LOW,LOW,0.5322715322403699,0.3875371220663429,0.08019134569328726
LOW,LOW,0.9148531763032877,0.08511488067224518,3.194302446706617e-05
LOW,LOW,0.9579061391542811,0.04207342710395939,2.043374175944889e-05
LOW,LOW,0.9776103606037505,0.02236539397781899,2.4245418430652187e-05
LOW,LOW,0.9994174411304433,0.0005825155665055769,4.330305132979485e-08
LOW,LOW,0.9955712211590909,0.004428063674402901,7.151665063300187e-07
LOW,LOW,0.9980861748280212,0.0019138143754029275,1.0796575758626396e-08
HIGH,HIGH,0.0035956594609467324,0.022571991305666745,0.9738323492333866
LOW,LOW,0.969581523511,0.030409442972314772,9.033516685228656e-06
LOW,LOW,0.9912114733728452,0.008788128142588936,3.984845660367352e-07
LOW,LOW,0.9953894008328362,0.004609735757162276,8.634100013643327e-07
LOW,LOW,0.9978897063926881,0.00210961589397461,6.777133373908842e-07
LOW,LOW,0.982169213242574,0.01771011718832756,0.00012066956909847664
LOW,LOW,0.9990990092201718,0.0009007253888706463,2.6539095759491677e-07
LOW,LOW,0.9984739152686716,0.0015250885812437085,9.961500847336371e-07
LOW,LOW,0.9974393694029127,0.0025571876246682874,3.442972419100459e-06
LOW,LOW,0.9941334193563383,0.005863173480500184,3.407163161734668e-06
LOW,LOW,0.9901554125871979,0.009843771642674594,8.157701275586949e-07
HIGH,HIGH,0.0003641042777126222,0.06327838943240476,0.9363575062898826
LOW,LOW,0.9903555600427887,0.009638710925222633,5.729031988618406e-06
LOW,LOW,0.9251979699948185,0.07479212111435195,9.908890829553188e-06
LOW,LOW,0.9978325243138089,0.0021595978270579977,7.877859133024826e-06
LOW,LOW,0.9384484949591425,0.061549401667737945,2.1033731195739026e-06
LOW,LOW,0.9967943382098331,0.003200976039973936,4.685750192965986e-06
MODERATE,MODERATE,0.058509853976559716,0.9410893168130875,0.0004008292103529536
MODERATE,MODERATE,0.008560848987045339,0.975391941842778,0.01604720917017666
MODERATE,MODERATE,0.04638841452924035,0.9496730674057295,0.003938518065030067
MODERATE,MODERATE,0.03537923801363146,0.9598481873537317,0.004772574632636853
MODERATE,MODERATE,0.0932677562655224,0.8450922106190589,0.06164003311541863
HIGH,HIGH,0.0012744174971178884,0.09536505898250204,0.9033605235203801
MODERATE,MODERATE,0.00030933669000150196,0.9957750606722052,0.003915602637793226
MODERATE,MODERATE,0.04236560457338199,0.9573131431447409,0.0003212522818771259
MODERATE,MODERATE,0.0024372062349076384,0.9907767222544753,0.006786071510617023
MODERATE,MODERATE,0.09278834143711175,0.9014567719725077,0.0057548865903804345
MODERATE,MODERATE,0.040937570168716124,0.9542767076038067,0.00478572222747705
MODERATE,MODERATE,0.017713053930349696,0.9556071653482652,0.02667978072138498
MODERATE,MODERATE,0.07037336042487265,0.9250984552881627,0.004528184286964698
MODERATE,MODERATE,0.07060763071360424,0.921335340632429,0.00805702865396693
MODERATE,MODERATE,0.03872236817475969,0.9315020631034852,0.029775568721755147
MODERATE,MODERATE,0.00016107740618690437,0.9973699206093667,0.002469001984446287
HIGH,HIGH,2.6604573116090828e-05,0.02354010707475644,0.9764332883521275
MODERATE,MODERATE,0.03561210713522692,0.9641158173939527,0.0002720754708205851
MODERATE,MODERATE,0.004143876317262839,0.9873907693715708,0.008465354311166419
MODERATE,MODERATE,0.00747783117483505,0.9783070983716065,0.014215070453558333
MODERATE,MODERATE,0.10092045829542858,0.8929891063423898,0.006090435362181773
MODERATE,MODERATE,0.06688896160825213,0.9250418892215237,0.008069149170224235
MODERATE,MODERATE,0.07785367240307207,0.9216267838499695,0.0005195437469584674
MODERATE,MODERATE,0.009578107326363704,0.9744331324247755,0.01598876024886094
HIGH,HIGH,3.0999700718225257e-06,0.04121060496685231,0.9587862950630759
HIGH,HIGH,2.4275342902291628e-06,0.00965558112783439,0.9903419913378754
HIGH,HIGH,1.4005587018426595e-06,0.06133474328033861,0.9386638561609595
MODERATE,MODERATE,0.0021248649425800207,0.9926799601134718,0.005195174943948189
HIGH,HIGH,0.002326850081158828,0.06701953762307657,0.9306536122957647
HIGH,HIGH,0.0005948817373480255,0.034786000605166095,0.964619117657486
HIGH,HIGH,0.0019533842096331614,0.03433950332460469,0.963707112465762
HIGH,HIGH,4.3533142829853066e-05,0.032389310712590214,0.9675671561445799
HIGH,HIGH,1.5844453147360292e-05,0.012204223893494614,0.987779931653358
HIGH,HIGH,5.772864902736331e-09,0.0013481842398433625,0.9986518099872917
HIGH,HIGH,3.912006108680417e-06,0.01962861130800363,0.9803674766858876
HIGH,HIGH,2.9422119066518966e-06,0.005608849103300581,0.9943882086847928
HIGH,HIGH,0.0007720526672985398,0.026179749941071966,0.9730481973916294
HIGH,HIGH,0.0025048705332055532,0.021794500705444902,0.9757006287613496
MODERATE,MODERATE,0.09278834143711175,0.9014567719725077,0.0057548865903804345
HIGH,HIGH,0.00022644067809418666,0.03067920218389544,0.9690943571380104
HIGH,HIGH,0.0010981685605665535,0.013540067990336451,0.985361763449097
HIGH,HIGH,3.3974581420334225e-05,0.013499506403631028,0.9864665190149486
HIGH,HIGH,1.082356317842805e-05,0.007261848204666932,0.9927273282321546
HIGH,HIGH,7.013933648421378e-09,0.0011327088165009192,0.9988672841695655
HIGH,HIGH,4.078782312072466e-06,0.04094177938680613,0.9590541418308819
HIGH,HIGH,3.2707716650064795e-06,0.006914020194928727,0.9930827090334062
HIGH,HIGH,0.0008281582834498999,0.02248277607437723,0.976689065642173
HIGH,HIGH,0.0025987411809131867,0.011872434066191139,0.9855288247528957
HIGH,HIGH,0.0002470659614792896,0.02918038682025528,0.9705725472182655
LOW,LOW,0.9291668808813658,0.07079935085363209,3.376826500224103e-05
