Feature,Beta
Intercept,-21.667727357138137
Age,0.04466333841847961
Gender,-0.2507517709750699
Air Pollution,-0.013288334756025283
Alcohol use,0.14488615334021948
Dust Allergy,0.3331199481205124
OccuPational Hazards,0.005768719696876504
Genetic Risk,0.29762202451302333
chronic Lung Disease,0.11470449780047129
Balanced Diet,-0.12554074387805372
Obesity,0.7536047968083736
Smoking,-0.10707316208654148
Passive Smoker,0.5041510714995328
Chest Pain,-0.17970617303725103
Coughing of Blood,0.45378689573938413
Fatigue,0.4227547729287842
Weight Loss,-0.15254896207473326
Shortness of Breath,0.11302874725637575
Wheezing,0.8180013258363635
Swallowing Difficulty,0.4695339898960345
Clubbing of Finger Nails,0.5800544750473093
Frequent Cold,0.4666443764088584
Dry Cough,0.3646233357488077
Snoring,0.8340562978629665
