Class,Bin,Mean_Predicted_Probability,Observed_Frequency
LOW,1,0.008515333813103352,0.0
LOW,2,0.12992250292924448,0.0
LOW,3,0.630034420021483,1.0
LOW,4,0.7933483116931634,1.0
LOW,5,0.8581507293655813,1.0
LOW,6,0.9852380563731978,1.0
MODERATE,1,0.013478752527383354,0.0
MODERATE,2,0.15288343145440042,0.0
MODERATE,3,0.36996550205679035,0.0
MODERATE,4,0.7724400026225693,1.0
MODERATE,5,0.8403221095256245,1.0
MODERATE,6,0.9782656460472178,1.0
HIGH,1,0.004627087818024411,0.0
HIGH,2,0.1444400411483567,0.0
HIGH,3,0.9886949007230251,1.0
